epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.96106,1.36627,3.52096,1.80602,0.00333,1,0.12757,0.09221,0.89716,3.24757,1.82343,0,0,0
2,2.87451,1.49435,3.4745,1.79675,0.00333,1,0.10882,0.07886,0.91471,3.25705,1.84579,1.99357e-05,1.99357e-05,1.99357e-05
3,3.75166,1.30199,3.22244,1.70301,0.00333,1,0.11375,0.0828,0.94433,3.27684,1.89461,3.98232e-05,3.98232e-05,3.98232e-05
4,4.55687,1.36041,3.55425,1.76512,0.00333,1,0.11071,0.08154,0.93728,3.30696,1.93387,5.96675e-05,5.96675e-05,5.96675e-05
5,5.36242,1.42251,3.57693,1.73583,0.00333,1,0.11617,0.0859,0.95933,3.3097,1.96199,7.94667e-05,7.94667e-05,7.94667e-05
6,6.2844,1.10458,3.4341,1.50207,0.98479,1,0.995,0.995,0.20955,1.13191,0.69114,9.92254e-05,9.92254e-05,9.92254e-05
7,7.94149,1.02193,1.27548,1.3361,0.98413,1,0.995,0.995,0.20983,1.10419,0.691,0.000118786,0.000118786,0.000118786
8,9.3464,0.98285,1.62222,1.42044,0.96912,1,0.995,0.84554,0.44741,2.55972,0.85378,0.000138307,0.000138307,0.000138307
9,10.5456,1.11597,1.83474,1.59689,0.96912,1,0.995,0.84554,0.44741,2.55972,0.85378,0.000157792,0.000157792,0.000157792
10,11.8449,0.92182,1.84816,1.24252,0.94647,0.5,0.595,0.36207,1.07949,1.93993,1.83483,0.000177216,0.000177216,0.000177216
11,13.1053,1.08613,1.62114,1.52479,0.94647,0.5,0.595,0.36207,1.07949,1.93993,1.83483,0.000196545,0.000196545,0.000196545
12,14.3699,0.97586,2.18881,1.40415,0.89543,1,0.995,0.84554,0.79192,3.87182,1.75054,0.000215826,0.000215826,0.000215826
13,15.5533,1.08,1.16635,1.52802,0.89543,1,0.995,0.84554,0.79192,3.87182,1.75054,0.000235033,0.000235033,0.000235033
14,16.8361,1.26279,1.40119,1.70892,0.96306,1,0.995,0.8955,0.92704,2.4648,2.51755,0.000254191,0.000254191,0.000254191
15,18.0622,0.95102,1.12231,1.38007,0.96306,1,0.995,0.8955,0.92704,2.4648,2.51755,0.000273262,0.000273262,0.000273262
16,19.3215,1.0877,1.45379,1.36266,0.65558,1,0.82833,0.59671,1.1139,4.66832,2.48405,0.000292252,0.000292252,0.000292252
17,20.5,1.30586,1.77404,1.69271,0.65558,1,0.82833,0.59671,1.1139,4.66832,2.48405,0.0003112,0.0003112,0.0003112
18,21.7013,1.47792,1.57983,1.70625,0.47234,0.5,0.63786,0.40016,1.43375,6.86005,3.26868,0.0003301,0.0003301,0.0003301
19,22.9016,1.27038,1.60586,1.51361,0.47234,0.5,0.63786,0.40016,1.43375,6.86005,3.26868,0.00034892,0.00034892,0.00034892
20,24.1282,1.02124,1.46765,1.36806,0.07201,1,0.08292,0.02709,1.96568,52.7836,3.34081,0.000367676,0.000367676,0.000367676
21,25.3052,1.19455,1.70178,1.58912,0.07201,1,0.08292,0.02709,1.96568,52.7836,3.34081,0.000386368,0.000386368,0.000386368
22,26.6032,0.8269,1.31833,1.26553,0.13371,0.5,0.16542,0.0626,3.21868,8.99051,5.6483,0.000404971,0.000404971,0.000404971
23,27.8068,0.95884,0.95431,1.278,0.13371,0.5,0.16542,0.0626,3.21868,8.99051,5.6483,0.000423506,0.000423506,0.000423506
24,29.0292,1.33851,1.67175,1.57765,0.13371,0.5,0.16542,0.0626,3.21868,8.99051,5.6483,0.000441972,0.000441972,0.000441972
25,30.2133,1.19832,1.34513,1.54679,0.73391,0.5,0.62,0.13594,2.11524,2.45858,4.90448,0.000460404,0.000460404,0.000460404
26,31.3721,1.20764,1.33308,1.6044,0.73391,0.5,0.62,0.13594,2.11524,2.45858,4.90448,0.000478774,0.000478774,0.000478774
27,32.5964,1.26121,1.53268,1.95546,0.73391,0.5,0.62,0.13594,2.11524,2.45858,4.90448,0.000497081,0.000497081,0.000497081
28,33.7846,0.99832,1.14272,1.34392,0.13761,0.5,0.07167,0.03583,2.8688,3.30911,5.9554,0.000515326,0.000515326,0.000515326
29,34.9669,0.91825,1.12595,1.44924,0.13761,0.5,0.07167,0.03583,2.8688,3.30911,5.9554,0.000533465,0.000533465,0.000533465
30,36.1337,1.05018,1.09055,1.46142,0.13761,0.5,0.07167,0.03583,2.8688,3.30911,5.9554,0.000551584,0.000551584,0.000551584
31,37.487,1.33225,1.32368,1.51322,0,0,0,0,4.43752,40.8624,4.32961,0.000569538,0.000569538,0.000569538
32,38.6513,1.11213,1.56341,1.36471,0,0,0,0,4.43752,40.8624,4.32961,0.000587474,0.000587474,0.000587474
33,39.8084,1.25444,1.54577,1.60427,0,0,0,0,4.43752,40.8624,4.32961,0.000605401,0.000605401,0.000605401
34,41.0097,1.58763,1.83833,1.86729,0.31196,0.5,0.24792,0.06527,2.89795,12.5879,9.0804,0.000623267,0.000623267,0.000623267
35,42.3478,1.0377,1.41887,1.84988,0.31196,0.5,0.24792,0.06527,2.89795,12.5879,9.0804,0.000640874,0.000640874,0.000640874
36,43.5655,0.93309,1.29932,1.48975,0.31196,0.5,0.24792,0.06527,2.89795,12.5879,9.0804,0.000658538,0.000658538,0.000658538
37,44.734,1.50175,1.92049,1.81818,0.31196,0.5,0.24792,0.06527,2.89795,12.5879,9.0804,0.00067621,0.00067621,0.00067621
38,45.9455,0.9761,1.16297,1.37613,1,0.95062,0.995,0.30242,1.91815,1.87011,4.79231,0.000693822,0.000693822,0.000693822
39,47.101,1.0691,1.75936,1.49221,1,0.95062,0.995,0.30242,1.91815,1.87011,4.79231,0.000711293,0.000711293,0.000711293
40,48.3027,0.81477,1.3064,1.3464,1,0.95062,0.995,0.30242,1.91815,1.87011,4.79231,0.000728783,0.000728783,0.000728783
41,49.5248,1.24393,1.76075,1.69368,1,0.95062,0.995,0.30242,1.91815,1.87011,4.79231,0.000746122,0.000746122,0.000746122
42,50.7334,1.20788,1.41147,1.63097,0.32843,1,0.398,0.07706,3.50344,10.424,12.5336,0.000763395,0.000763395,0.000763395
43,51.9343,1.30056,1.36528,1.64487,0.32843,1,0.398,0.07706,3.50344,10.424,12.5336,0.0007806,0.0007806,0.0007806
44,53.1059,1.08813,1.31378,1.55879,0.32843,1,0.398,0.07706,3.50344,10.424,12.5336,0.000797843,0.000797843,0.000797843
45,54.296,1.31832,1.27137,1.6674,0.32843,1,0.398,0.07706,3.50344,10.424,12.5336,0.000815029,0.000815029,0.000815029
46,55.5264,0.95413,1.25675,1.46064,0,0,0,0,3.43479,77.1365,5.02853,0.000832042,0.000832042,0.000832042
47,56.6883,1.23658,1.02366,1.70952,0,0,0,0,3.43479,77.1365,5.02853,0.000848988,0.000848988,0.000848988
48,57.8813,1.06075,1.08484,1.60178,0,0,0,0,3.43479,77.1365,5.02853,0.000865867,0.000865867,0.000865867
49,59.0464,1.28088,1.14332,1.76438,0,0,0,0,3.43479,77.1365,5.02853,0.00088281,0.00088281,0.00088281
50,60.2537,1.28292,1.12079,1.75141,0,0,0,0,6.56658,inf,51.238,0.00089956,0.00089956,0.00089956
51,61.4258,1.48808,1.409,2.05673,0,0,0,0,6.56658,inf,51.238,0.000916244,0.000916244,0.000916244
52,62.6541,1.89035,1.8892,2.38203,0,0,0,0,6.56658,inf,51.238,0.000933007,0.000933007,0.000933007
53,63.9178,1.32733,1.57107,1.84199,0,0,0,0,6.56658,inf,51.238,0.000949409,0.000949409,0.000949409
54,65.2953,1.06516,1.20674,1.4519,0,0,0,0,6.56658,inf,51.238,0.000965732,0.000965732,0.000965732
55,66.5293,1.33449,1.44781,1.90902,0,0,0,0,nan,nan,nan,0.000982141,0.000982141,0.000982141
56,67.724,1.79727,1.48463,1.7413,0,0,0,0,nan,nan,nan,0.000998483,0.000998483,0.000998483
57,68.8992,1.73444,1.71087,2.08401,0,0,0,0,nan,nan,nan,0.00101476,0.00101476,0.00101476
58,70.0706,1.90637,1.56561,1.97597,0,0,0,0,nan,nan,nan,0.00103097,0.00103097,0.00103097
59,71.2373,1.94684,2.12525,2.27613,0,0,0,0,nan,nan,nan,0.0010473,0.0010473,0.0010473
60,72.4464,1.15887,1.51902,1.44311,0,0,0,0,nan,nan,nan,0.00106338,0.00106338,0.00106338
61,73.6355,1.49445,1.59666,1.78688,0,0,0,0,nan,nan,nan,0.00107939,0.00107939,0.00107939
62,74.8116,1.51726,1.24053,1.93199,0,0,0,0,nan,nan,nan,0.00109534,0.00109534,0.00109534
63,75.9831,1.25296,1.50207,1.76176,0,0,0,0,nan,nan,nan,0.00111143,0.00111143,0.00111143
64,77.7844,1.35824,1.4994,1.63832,0,0,0,0,nan,nan,nan,0.00112635,0.00112635,0.00112635
65,79.0655,1.28025,1.45342,1.58455,0,0,0,0,nan,nan,nan,0.00114184,0.00114184,0.00114184
66,80.2543,1.13492,1.14238,1.53604,0,0,0,0,nan,nan,nan,0.00115749,0.00115749,0.00115749
67,81.4577,1.91707,1.34057,2.67053,0,0,0,0,nan,nan,nan,0.00117332,0.00117332,0.00117332
68,82.6261,1.3451,1.31915,1.66175,0,0,0,0,nan,nan,nan,0.00118884,0.00118884,0.00118884
69,83.7965,1.38893,1.36769,1.57355,0,0,0,0,nan,nan,nan,0.00120429,0.00120429,0.00120429
70,84.97,1.12433,1.15646,1.57135,0,0,0,0,nan,nan,nan,0.00121995,0.00121995,0.00121995
71,86.1875,1.34583,1.18984,1.92469,0,0,0,0,nan,nan,nan,0.00123528,0.00123528,0.00123528
72,87.3708,1.43859,1.42759,1.73211,0,0,0,0,nan,nan,nan,0.00125054,0.00125054,0.00125054
73,88.5482,1.5114,1.4367,1.90375,0,0,0,0,nan,nan,nan,0.00126573,0.00126573,0.00126573
74,89.7853,1.19243,0.95526,1.7107,0,0,0,0,nan,nan,nan,0.00128086,0.00128086,0.00128086
75,90.9556,1.61087,1.46381,1.91305,0,0,0,0,nan,nan,nan,0.00129592,0.00129592,0.00129592
76,92.1347,1.38128,1.64664,1.86059,0,0,0,0,nan,nan,nan,0.00131123,0.00131123,0.00131123
77,93.3232,1.67701,1.70786,2.17996,0,0,0,0,nan,nan,nan,0.00132616,0.00132616,0.00132616
78,94.5059,1.29922,1.4403,1.66714,0,0,0,0,nan,nan,nan,0.00134103,0.00134103,0.00134103
79,95.662,1.60977,1.58785,1.85167,0,0,0,0,nan,nan,nan,0.00135617,0.00135617,0.00135617
80,96.8659,1.36952,1.42155,1.93385,0,0,0,0,nan,nan,nan,0.00137091,0.00137091,0.00137091
81,98.0463,1.14269,1.35114,1.62673,0,0,0,0,nan,nan,nan,0.00138558,0.00138558,0.00138558
82,99.2159,1.79278,1.63325,2.16047,0,0,0,0,nan,nan,nan,0.00140019,0.00140019,0.00140019
83,100.369,1.58816,1.37721,1.83103,0,0,0,0,nan,nan,nan,0.00141511,0.00141511,0.00141511
84,101.579,1.39125,1.49094,1.99465,0,0,0,0,nan,nan,nan,0.00142959,0.00142959,0.00142959
85,102.759,1.4327,1.58434,2.09919,0,0,0,0,nan,nan,nan,0.00144401,0.00144401,0.00144401
86,103.971,1.57788,1.35882,1.91305,0,0,0,0,nan,nan,nan,0.00145835,0.00145835,0.00145835
87,105.142,1.45245,1.36224,1.62579,0,0,0,0,nan,nan,nan,0.00147263,0.00147263,0.00147263
88,106.308,1.20661,1.27679,1.82721,0,0,0,0,nan,nan,nan,0.00148685,0.00148685,0.00148685
89,107.566,1.56635,1.68719,1.90952,0,0,0,0,nan,nan,nan,0.00150099,0.00150099,0.00150099
90,108.738,1.61561,1.38816,1.82979,0,0,0,0,nan,nan,nan,0.00151507,0.00151507,0.00151507
91,109.941,1.45854,1.43242,1.78856,0,0,0,0,nan,nan,nan,0.00152954,0.00152954,0.00152954
92,111.127,1.52648,1.308,1.79649,0,0,0,0,nan,nan,nan,0.0015435,0.0015435,0.0015435
93,112.291,1.24155,1.18867,1.61136,0,0,0,0,nan,nan,nan,0.00155739,0.00155739,0.00155739
94,113.484,1.41703,1.34855,1.96615,0,0,0,0,nan,nan,nan,0.00157121,0.00157121,0.00157121
95,114.648,1.61079,1.56465,2.35747,0,0,0,0,nan,nan,nan,0.00158497,0.00158497,0.00158497
96,115.812,1.59629,1.39181,2.06946,0,0,0,0,nan,nan,nan,0.00159917,0.00159917,0.00159917
97,116.967,1.96015,2.32672,2.54891,0,0,0,0,nan,nan,nan,0.0016128,0.0016128,0.0016128
98,118.124,1.44788,1.05604,1.63961,0,0,0,0,nan,nan,nan,0.00162637,0.00162637,0.00162637
99,119.342,1.58448,1.98079,2.16835,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00163987,0.00163987,0.00163987
100,120.489,1.52564,1.69427,2.10789,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.0016533,0.0016533,0.0016533
101,121.675,1.48262,1.37171,1.74557,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00166723,0.00166723,0.00166723
102,122.843,1.61791,1.68405,1.89016,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.0016639,0.0016639,0.0016639
103,124.002,1.41582,1.41325,2.18906,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00166057,0.00166057,0.00166057
104,125.165,1.61757,1.42247,2.07727,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00165724,0.00165724,0.00165724
105,126.334,1.49625,1.81491,2.14361,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.0016545,0.0016545,0.0016545
106,127.498,1.6365,1.97563,2.25813,0.00167,0.5,0.00172,0.00017,4.54103,103.921,30.1218,0.00165117,0.00165117,0.00165117
